"Symbol	"
ADBE
AMPX
AVGO
CAN
COIN
CRDO
DOCU
MSTR
NET
NVDA
OKLO
ORCL
PANW
PDYN
PLTR
RMBS
SE
SMCI
SMR
SMTC
SNOW
SNPS
SOFI
TRMB
WDC
