"Symbol	"
ARVINDFASN.NS
BAJAJHIND.NS
CAMPUS.NS
CONCOR.NS
EXIDEIND.NS
GOYALSALT.NS
GUJGASLTD.NS
HINDZINC.NS
IREDA.NS
KPITTECH.NS
LICHSGFIN.NS
MARICO.NS
MCX.NS
MEDICAMEQ.NS
MMTC.NS
POWERGRID.NS
RECLTD.NS
REFEX.NS
SAMHI.NS
SWSOLAR.NS
