Symbol
WDC
NBIS
SMR
CRCL
MU
CAN
UPST
COIN
MSTR
STX
AMD
UMC
MRVL
SNDK
TER
LRCX
SE
ORCL
OKLO
MDB
PLTR
QCOM
SOFI
SMTC
SNOW
AMAT
PDYN
NET
TSM
DELL
NVDA
GOOGL
CRDO
SYM
DDOG
AMZN
CRNX
AMPX
AVGO
DHI
ADBE
P
SMCI
DIS
ZS
PANW
NFLX
NIO
SNPS
NTNX
FSLR
BABA
DOCU
TRMB
SIMO
RMBS
FANG
